state,action,nextState,reward
"(0, 0, 0)",activePlanning,"(-1, -1, 1)",6.846316972
"(1, -1, -1)",rewardPunish,"(-1, 0, -1)",2.026303573
"(1, 0, -1)",remindTruths,"(0, 1, -1)",8.730202998
"(0, 1, -1)",remindTruths,"(0, -1, -1)",8.33870955
"(0, 0, -1)",rewardPunish,"(1, 0, 0)",5.665260344
"(0, 0, 1)",activePlanning,"(0, 1, 1)",1.348380959
"(1, -1, -1)",remindTruths,"(1, 1, 0)",9.451918199
"(0, 0, 0)",activePlanning,"(1, 1, -1)",8.246691196
"(1, 0, 1)",rewardPunish,"(0, -1, 0)",7.421926389
"(1, -1, 0)",rewardPunish,"(1, 1, 0)",2.081884175
"(1, 1, 0)",activePlanning,"(1, 1, 1)",5.051908738
"(-1, 0, -1)",rewardPunish,"(1, 0, 0)",8.173537653
"(0, 1, 0)",remindTruths,"(1, 1, 0)",9.513924381
"(0, -1, 0)",rewardPunish,"(0, 0, 0)",7.793396698
"(1, 1, -1)",remindTruths,"(1, -1, 1)",9.779928318
"(-1, -1, 1)",activePlanning,"(0, 0, 0)",6.59821827
"(-1, 0, -1)",activePlanning,"(1, -1, -1)",4.767923978
"(-1, -1, 1)",rewardPunish,"(0, -1, 1)",3.47787266
"(0, 0, 1)",rewardPunish,"(-1, 0, 1)",2.249840748
"(-1, 0, -1)",activePlanning,"(-1, -1, -1)",7.766213429
"(0, 1, 1)",activePlanning,"(0, 0, -1)",3.129897804
"(1, 0, 1)",activePlanning,"(0, 1, 0)",2.436036046
"(1, 1, -1)",activePlanning,"(-1, -1, 0)",9.241210996
"(1, 0, 0)",rewardPunish,"(1, -1, 0)",9.259254573
"(-1, -1, 0)",remindTruths,"(-1, -1, 1)",9.481193742
"(0, -1, 1)",rewardPunish,"(0, -1, 0)",9.290179241
"(0, 0, 1)",remindTruths,"(0, 0, -1)",7.434666057
"(1, 1, 1)",activePlanning,"(0, 1, 0)",1.793347674
"(0, 1, 0)",activePlanning,"(-1, -1, -1)",6.527779528
"(1, -1, 0)",remindTruths,"(1, 0, 1)",8.058428035
"(1, 0, -1)",rewardPunish,"(1, -1, -1)",5.88942029
"(-1, 0, -1)",activePlanning,"(0, -1, 1)",1.784139032
"(1, -1, 1)",rewardPunish,"(-1, 1, -1)",3.501623315
"(1, 0, 1)",remindTruths,"(-1, 1, 1)",4.464914098
"(1, 1, 1)",remindTruths,"(-1, 1, 0)",6.407367274
"(1, -1, 1)",remindTruths,"(1, 1, -1)",1.827268033
"(-1, -1, 1)",activePlanning,"(-1, 1, -1)",5.053038451
"(1, 0, 0)",activePlanning,"(1, 1, 0)",6.268057902
"(-1, -1, -1)",activePlanning,"(1, -1, -1)",3.666580463
"(-1, 0, 1)",rewardPunish,"(-1, 0, -1)",5.803472801
"(0, 0, 1)",remindTruths,"(1, 0, 1)",1.11117163
"(-1, 1, 0)",rewardPunish,"(-1, 0, 0)",6.609752943
"(-1, 1, 0)",remindTruths,"(0, 1, -1)",3.619352174
"(1, 1, 0)",rewardPunish,"(-1, 0, -1)",5.750628852
"(-1, 0, 1)",rewardPunish,"(0, -1, 0)",3.168555026
"(1, 1, 1)",rewardPunish,"(-1, 1, -1)",3.441310296
"(-1, 1, 1)",activePlanning,"(0, 1, -1)",2.711751339
"(-1, -1, 0)",activePlanning,"(-1, 0, 1)",2.786541439
"(1, -1, 0)",rewardPunish,"(-1, -1, 1)",8.766063091
"(1, -1, 1)",activePlanning,"(1, 0, 1)",4.882170588
"(-1, -1, -1)",activePlanning,"(0, 1, 0)",3.122875121
"(1, 0, 0)",activePlanning,"(0, 1, 1)",4.030888735
"(1, 0, 0)",rewardPunish,"(-1, -1, -1)",6.208124412
"(-1, 1, -1)",remindTruths,"(0, -1, 0)",2.21049273
"(1, 0, 0)",remindTruths,"(0, 0, 1)",3.495949408
"(1, -1, -1)",activePlanning,"(-1, 0, 0)",9.113811006
"(0, -1, 0)",activePlanning,"(0, 0, -1)",2.785976743
"(0, -1, 1)",remindTruths,"(1, 1, 1)",3.209173354
"(-1, 0, 0)",rewardPunish,"(1, 1, 0)",1.539189369
"(-1, 0, 1)",remindTruths,"(1, -1, 1)",2.161450493
"(1, -1, 1)",activePlanning,"(1, -1, -1)",7.491109298
"(0, 1, 0)",rewardPunish,"(0, -1, 0)",8.852892339
"(0, 0, 1)",rewardPunish,"(-1, 0, -1)",8.774477821
"(1, 1, 1)",activePlanning,"(-1, 1, -1)",3.577030711
"(0, 0, 0)",remindTruths,"(-1, 1, 1)",1.152756664
"(-1, 0, 0)",activePlanning,"(0, 1, -1)",2.458888765
"(-1, -1, 1)",activePlanning,"(0, 0, 0)",6.687386602
"(1, 1, -1)",remindTruths,"(-1, -1, -1)",3.674785895
"(1, 0, -1)",activePlanning,"(1, 1, 0)",5.91729433
"(1, 0, 0)",remindTruths,"(0, 0, 1)",9.793561853
"(-1, 1, 0)",activePlanning,"(-1, 0, 0)",5.525372984
"(1, 0, 0)",activePlanning,"(-1, 0, 1)",6.871437279
"(-1, -1, -1)",remindTruths,"(1, -1, 0)",2.811191257
"(0, 0, -1)",rewardPunish,"(0, -1, -1)",8.893558185
"(-1, -1, 0)",activePlanning,"(0, 0, 0)",5.288873241
"(1, -1, -1)",rewardPunish,"(1, -1, 1)",7.040979261
"(1, -1, 1)",rewardPunish,"(1, 1, 0)",1.117158752
"(-1, 0, -1)",remindTruths,"(-1, -1, 1)",4.820310135
"(0, 0, -1)",remindTruths,"(-1, 0, 0)",3.721714336
"(1, 0, -1)",rewardPunish,"(0, 0, 1)",3.690777453
"(1, -1, 0)",rewardPunish,"(1, 1, 0)",3.878892455
"(-1, -1, -1)",activePlanning,"(1, 0, 0)",9.831310638
"(0, 0, 0)",activePlanning,"(-1, 0, 0)",7.279725078
"(1, -1, 0)",activePlanning,"(-1, 0, -1)",1.547555027
"(1, -1, -1)",activePlanning,"(-1, -1, 1)",7.777257656
"(1, 0, -1)",activePlanning,"(-1, 1, -1)",6.003544258
"(0, 1, 0)",remindTruths,"(1, -1, 1)",5.941986459
"(-1, 1, -1)",remindTruths,"(1, 0, 0)",9.806201586
"(1, -1, 0)",remindTruths,"(-1, 1, 1)",2.587488811
"(1, -1, -1)",activePlanning,"(0, 0, 0)",1.402356355
"(1, -1, 1)",remindTruths,"(1, -1, 0)",1.346715757
"(0, 0, 0)",remindTruths,"(1, -1, 1)",9.86966493
"(0, -1, 1)",remindTruths,"(-1, -1, 1)",7.511453842
"(-1, 0, 1)",activePlanning,"(-1, 1, -1)",4.194693338
"(-1, 1, -1)",activePlanning,"(1, -1, 1)",3.496692727
"(0, -1, 0)",remindTruths,"(1, 1, 0)",6.485625655
"(0, 1, -1)",rewardPunish,"(1, 1, 0)",5.401595957
"(0, 0, 0)",remindTruths,"(0, 0, 1)",7.401859994
"(1, 1, -1)",activePlanning,"(1, 1, 0)",9.270096334
"(-1, 0, 0)",rewardPunish,"(0, 0, 0)",7.93547073
"(1, 0, 1)",remindTruths,"(1, 0, 1)",7.500275827
"(1, 0, 0)",activePlanning,"(1, -1, -1)",4.666745697
"(-1, 1, 0)",rewardPunish,"(0, -1, 0)",4.084039232
"(1, 1, 1)",remindTruths,"(0, -1, 0)",5.41097687
"(-1, 0, 1)",activePlanning,"(0, -1, -1)",7.125405523
"(0, 0, 0)",activePlanning,"(1, 0, 0)",6.467463803
"(1, 0, 0)",rewardPunish,"(-1, -1, 1)",9.415386159
"(0, 0, -1)",rewardPunish,"(0, -1, -1)",5.43938928
"(0, 1, -1)",activePlanning,"(1, 0, 1)",5.272075656
"(1, -1, 0)",activePlanning,"(1, 0, 0)",6.59087756
"(-1, 0, -1)",rewardPunish,"(0, 0, 0)",3.956013282
"(0, 1, 1)",remindTruths,"(1, 1, 0)",3.57055279
"(0, 0, 1)",rewardPunish,"(0, 1, -1)",5.847054261
"(-1, -1, 0)",remindTruths,"(1, 0, 0)",8.693107284
"(0, 1, -1)",rewardPunish,"(1, -1, 1)",4.363531816
"(-1, -1, 0)",remindTruths,"(0, 0, -1)",6.407515804
"(0, 1, 1)",remindTruths,"(1, 0, -1)",3.076065817
"(-1, 0, 1)",remindTruths,"(0, -1, 1)",6.255718234
"(-1, -1, 1)",rewardPunish,"(0, 0, 1)",4.22332749
"(-1, -1, 0)",activePlanning,"(-1, 1, -1)",7.930550016
"(-1, 1, 0)",rewardPunish,"(-1, 0, -1)",6.527588557
"(1, 1, 1)",rewardPunish,"(1, 1, 1)",7.471940112
"(-1, 1, 0)",remindTruths,"(-1, 0, 1)",6.025074159
"(0, 1, -1)",remindTruths,"(-1, -1, 1)",4.758353289
"(1, 1, 0)",rewardPunish,"(1, 0, 1)",8.170267094
"(0, -1, 0)",remindTruths,"(0, 1, 0)",2.122790549
"(-1, -1, 0)",rewardPunish,"(-1, 0, -1)",8.491895353
"(-1, -1, 1)",remindTruths,"(-1, 0, -1)",2.1882736
"(1, -1, -1)",remindTruths,"(0, 1, 0)",8.773233124
"(1, -1, -1)",activePlanning,"(0, 0, 0)",8.01020052
"(1, 0, -1)",rewardPunish,"(-1, 0, -1)",2.4139226
"(0, 1, 1)",remindTruths,"(0, -1, -1)",7.69768407
"(-1, 0, 1)",activePlanning,"(0, 1, 0)",3.22282411
"(1, 1, -1)",remindTruths,"(1, 1, -1)",1.159485155
"(0, -1, 1)",rewardPunish,"(0, -1, 0)",5.214352272
"(1, -1, 1)",activePlanning,"(-1, -1, 1)",6.058033057
"(-1, 1, 0)",remindTruths,"(-1, 0, -1)",1.535672277
"(0, -1, 1)",activePlanning,"(-1, 0, 1)",6.672254257
"(-1, 1, 0)",rewardPunish,"(-1, 1, 0)",7.497164414
"(1, 1, 0)",rewardPunish,"(1, 0, 1)",7.478266194
"(-1, 0, 0)",rewardPunish,"(-1, 0, 0)",1.579761739
"(-1, 1, 0)",activePlanning,"(-1, 1, 0)",9.303014883
"(0, 1, 0)",rewardPunish,"(0, 1, 0)",4.200250696
"(1, -1, 0)",remindTruths,"(1, 0, -1)",8.561504325
"(0, 1, 1)",activePlanning,"(-1, -1, -1)",8.700175933
"(1, 1, 1)",remindTruths,"(1, 1, 1)",3.137508116
"(1, 1, 1)",rewardPunish,"(0, 0, -1)",7.707434403
"(1, 1, 0)",rewardPunish,"(-1, 0, -1)",5.197954673
"(1, 0, -1)",rewardPunish,"(1, -1, 0)",9.226000411
"(0, -1, -1)",rewardPunish,"(0, 1, 1)",9.509553668
"(-1, 1, 0)",remindTruths,"(0, -1, 0)",8.647642541
"(0, 1, 0)",remindTruths,"(1, 0, 1)",7.213557834
"(-1, -1, 1)",rewardPunish,"(1, 0, 1)",3.255809423
"(0, -1, 1)",activePlanning,"(-1, 1, 0)",1.926669193
"(1, -1, 1)",remindTruths,"(1, -1, 0)",8.10867786
"(0, -1, 0)",rewardPunish,"(1, 1, 1)",2.500833335
"(0, -1, 0)",remindTruths,"(0, 0, 0)",5.710054483
"(1, -1, 1)",remindTruths,"(1, -1, 0)",9.165936914
"(1, -1, 0)",rewardPunish,"(-1, -1, 1)",2.596403647
"(0, 1, 0)",activePlanning,"(1, 0, 0)",2.948685826
"(1, 1, -1)",rewardPunish,"(1, 1, -1)",5.464986523
"(0, -1, -1)",remindTruths,"(0, -1, 0)",4.47010056
"(0, -1, -1)",activePlanning,"(-1, 1, 0)",9.960874648
"(0, 1, 1)",activePlanning,"(-1, -1, 1)",9.52938636
"(0, -1, 0)",rewardPunish,"(0, 0, -1)",1.754115588
"(1, 1, -1)",remindTruths,"(1, -1, 0)",4.075662949
"(0, 0, 0)",rewardPunish,"(1, -1, 0)",2.78189804
"(1, 1, 1)",remindTruths,"(-1, -1, 1)",9.172104303
"(1, 1, 1)",activePlanning,"(0, 0, -1)",8.772632657
"(-1, 1, 0)",activePlanning,"(0, 0, 1)",6.475574005
"(1, -1, -1)",rewardPunish,"(1, 0, -1)",3.700380532
"(1, -1, -1)",activePlanning,"(0, 1, 1)",8.792522533
"(0, 0, 0)",activePlanning,"(-1, -1, 1)",1.838548348
"(1, 0, -1)",remindTruths,"(0, 1, 0)",7.621096776
"(-1, 1, -1)",remindTruths,"(1, 0, -1)",1.229534213
"(-1, 0, -1)",activePlanning,"(-1, 1, 0)",5.066072645
"(-1, -1, 1)",activePlanning,"(1, -1, 0)",8.278340875
"(0, -1, 1)",rewardPunish,"(0, 0, -1)",6.726407125
"(1, -1, 1)",remindTruths,"(0, -1, -1)",2.344781478
"(0, -1, -1)",rewardPunish,"(0, -1, 0)",8.349885521
"(1, 0, 0)",remindTruths,"(0, 1, 1)",7.739465949
"(0, 0, 0)",activePlanning,"(-1, -1, 1)",1.51887439
"(1, 1, 1)",remindTruths,"(1, 1, -1)",9.597748426
"(0, 0, 0)",activePlanning,"(1, 1, 1)",3.870941574
"(-1, 0, 0)",activePlanning,"(-1, -1, 1)",6.394132101
"(0, 1, -1)",activePlanning,"(1, 0, 0)",4.749983233
"(0, 1, 0)",remindTruths,"(-1, 0, 1)",4.370452853
"(0, 0, -1)",rewardPunish,"(0, 1, -1)",4.32406687
"(1, -1, -1)",activePlanning,"(-1, 1, 1)",3.209468788
"(0, 1, -1)",rewardPunish,"(1, 1, 1)",9.979535406
"(0, -1, 1)",remindTruths,"(1, -1, 0)",7.781531447
"(1, 1, 0)",activePlanning,"(-1, -1, 1)",5.730023225
"(-1, 0, 1)",remindTruths,"(1, 1, 1)",4.628623996
"(0, 1, 0)",activePlanning,"(-1, -1, -1)",6.574905645
"(0, -1, 0)",activePlanning,"(1, 0, 1)",8.375104653
"(1, -1, -1)",rewardPunish,"(0, -1, 1)",6.009939947
"(0, 1, 0)",rewardPunish,"(0, -1, 0)",9.674549977
"(0, 0, 0)",activePlanning,"(1, 0, 0)",7.778424598
"(-1, 0, -1)",rewardPunish,"(1, 1, -1)",2.274350772
"(1, 1, -1)",rewardPunish,"(1, -1, -1)",9.933975057
"(1, -1, 1)",remindTruths,"(-1, 0, 0)",9.193166953
"(1, 0, -1)",rewardPunish,"(0, -1, -1)",9.817269231
"(-1, -1, 0)",remindTruths,"(1, 1, -1)",7.432031295
"(0, -1, 1)",remindTruths,"(0, 1, 0)",7.696911521
"(-1, 0, 1)",remindTruths,"(-1, 0, -1)",6.612128451
"(1, 1, 0)",rewardPunish,"(0, 1, 0)",5.44547613
"(-1, 1, 0)",remindTruths,"(1, 0, -1)",3.999370064
"(-1, 0, 1)",activePlanning,"(1, 0, 0)",3.489997587
"(1, 0, 0)",remindTruths,"(1, 1, -1)",7.028732723
"(1, 0, 0)",remindTruths,"(0, 0, -1)",5.957102587
"(-1, -1, -1)",remindTruths,"(0, -1, -1)",4.923508964
"(0, 0, 1)",rewardPunish,"(1, 1, -1)",3.823112506
"(0, 1, 0)",rewardPunish,"(1, -1, 1)",4.502114295
"(1, 0, -1)",remindTruths,"(0, 0, 1)",9.940991632
"(-1, 0, 1)",activePlanning,"(0, -1, -1)",5.214148707
"(1, -1, 0)",remindTruths,"(0, -1, -1)",8.420494627
"(-1, 1, 0)",activePlanning,"(0, 0, -1)",2.622228104
"(-1, -1, -1)",rewardPunish,"(1, 0, 0)",4.555434723
"(0, 0, 0)",remindTruths,"(1, -1, 1)",6.273993719
"(0, 1, 0)",rewardPunish,"(-1, 1, 0)",5.26474523
"(1, 1, -1)",rewardPunish,"(-1, -1, -1)",5.029010532
"(-1, -1, -1)",remindTruths,"(1, 1, 0)",4.845745505
"(1, 1, -1)",rewardPunish,"(0, -1, 1)",5.114185389
"(-1, 0, 1)",activePlanning,"(1, 1, 0)",9.707768945
"(1, -1, 1)",activePlanning,"(1, -1, -1)",7.079830422
"(1, -1, -1)",remindTruths,"(1, 1, 1)",9.650051108
"(0, 1, -1)",remindTruths,"(1, -1, -1)",4.355424557
"(-1, -1, 1)",rewardPunish,"(-1, 0, 0)",1.993056632
"(-1, -1, 1)",remindTruths,"(1, -1, 1)",7.714166846
"(-1, 1, 1)",remindTruths,"(0, 0, 1)",1.902080218
"(-1, -1, -1)",rewardPunish,"(-1, 0, 1)",1.243453121
"(0, 0, 1)",activePlanning,"(-1, 0, -1)",5.062870268
"(1, -1, 0)",remindTruths,"(0, 1, -1)",9.999873539
"(0, 1, 1)",rewardPunish,"(0, 0, 1)",6.052727703
"(-1, -1, 1)",activePlanning,"(0, -1, 1)",7.212752114
"(1, -1, 1)",activePlanning,"(0, 1, 0)",5.635573643
"(1, 1, -1)",rewardPunish,"(0, 0, 0)",3.424631531
"(1, 1, 0)",remindTruths,"(0, 1, 0)",9.173411209
"(-1, 0, 1)",remindTruths,"(0, 1, 1)",4.45040181
"(0, 1, 1)",remindTruths,"(0, 0, 0)",7.224047026
"(-1, 1, 1)",rewardPunish,"(1, -1, 1)",2.976570168
"(-1, 0, 0)",activePlanning,"(-1, 0, 0)",3.553643311
"(1, 0, -1)",rewardPunish,"(-1, 1, 1)",6.329148188
"(1, 1, -1)",activePlanning,"(0, 0, 1)",7.324761319
"(1, 1, 0)",activePlanning,"(-1, 0, -1)",8.841411562
"(-1, -1, 1)",rewardPunish,"(-1, 0, -1)",8.821198618
"(-1, 1, 0)",activePlanning,"(1, -1, -1)",8.845597161
"(1, 1, 1)",rewardPunish,"(0, 1, 1)",3.831842605
"(1, -1, 1)",rewardPunish,"(1, 0, 0)",2.529694965
"(-1, 1, -1)",rewardPunish,"(0, 1, 0)",3.45391464
"(-1, 0, -1)",remindTruths,"(1, 0, 1)",5.910116449
"(1, 1, 0)",rewardPunish,"(-1, -1, -1)",3.17130681
"(-1, 0, 1)",activePlanning,"(-1, 0, 0)",4.670724386
"(1, 1, 0)",activePlanning,"(1, 1, 0)",3.509796071
"(0, 0, 1)",activePlanning,"(-1, -1, -1)",9.284240501
"(0, -1, 0)",rewardPunish,"(-1, 1, 0)",5.475989256
"(-1, 0, 0)",rewardPunish,"(0, -1, 0)",6.664041981
"(-1, 1, -1)",rewardPunish,"(1, 1, 1)",9.621993046
"(-1, 1, 0)",remindTruths,"(0, 1, -1)",4.103745008
"(1, 1, 1)",rewardPunish,"(1, 0, -1)",3.440798987
"(1, 0, 1)",rewardPunish,"(1, 1, -1)",3.927208311
"(1, -1, -1)",activePlanning,"(0, 1, 1)",1.7786749
"(0, 1, 1)",remindTruths,"(1, 0, 1)",9.45070974
"(1, -1, -1)",rewardPunish,"(0, 0, 0)",8.167960144
"(-1, -1, 1)",remindTruths,"(-1, -1, -1)",5.587399511
"(-1, 1, 0)",rewardPunish,"(1, 1, 0)",9.658864509
"(0, 1, 0)",rewardPunish,"(0, 1, 0)",5.602869531
"(1, 0, -1)",rewardPunish,"(1, 1, 1)",2.785530911
"(0, 1, -1)",remindTruths,"(-1, 0, -1)",4.529405142
"(0, -1, -1)",rewardPunish,"(-1, 0, 0)",9.214243283
"(1, -1, 1)",remindTruths,"(0, 1, 0)",7.62381001
"(-1, -1, 0)",remindTruths,"(-1, 1, 0)",7.801841643
"(-1, 0, 1)",remindTruths,"(1, -1, -1)",9.128242279
"(-1, -1, -1)",remindTruths,"(0, 1, -1)",4.289782336
"(-1, 1, 0)",rewardPunish,"(-1, 1, 0)",5.490381978
"(1, 0, 1)",activePlanning,"(0, 0, 0)",2.124288803
"(0, 0, -1)",activePlanning,"(1, -1, -1)",7.409540913
"(0, 0, 1)",rewardPunish,"(-1, -1, -1)",6.436491886
"(-1, 1, 1)",rewardPunish,"(-1, 0, 0)",5.196936702
"(1, 1, 0)",rewardPunish,"(0, 0, 1)",9.927397345
"(1, 0, 1)",remindTruths,"(0, 0, -1)",4.182377942
"(-1, 1, 0)",remindTruths,"(-1, 1, 1)",7.450618239
"(0, -1, 0)",rewardPunish,"(0, -1, 0)",7.004654794
"(-1, 0, 0)",activePlanning,"(0, -1, -1)",1.508586692
"(1, 0, 1)",activePlanning,"(-1, 1, 0)",2.615564013
"(0, 0, 0)",activePlanning,"(-1, 0, 1)",6.321122719
"(-1, 1, -1)",remindTruths,"(-1, -1, -1)",4.250454968
"(-1, 0, -1)",rewardPunish,"(-1, -1, -1)",5.559951216
"(-1, 1, -1)",rewardPunish,"(0, 0, -1)",4.69832448
"(1, 0, -1)",remindTruths,"(-1, -1, 1)",3.051485926
"(-1, -1, 0)",rewardPunish,"(0, 0, -1)",4.155269238
"(0, 1, -1)",remindTruths,"(0, -1, 1)",7.97672849
"(1, -1, 1)",rewardPunish,"(0, 1, 1)",9.989732924
"(-1, 0, -1)",activePlanning,"(-1, 1, 0)",1.466055754
"(0, 0, 1)",remindTruths,"(1, 1, -1)",2.707748682
"(0, 1, -1)",remindTruths,"(-1, 1, -1)",2.172340021
"(-1, 1, -1)",remindTruths,"(-1, 1, -1)",2.510274793
"(-1, 0, 1)",rewardPunish,"(1, -1, 0)",6.144731765
"(-1, 1, -1)",activePlanning,"(1, -1, -1)",2.675243541
"(1, 1, -1)",rewardPunish,"(1, -1, -1)",3.424353306
"(-1, -1, 1)",remindTruths,"(-1, 1, 1)",5.556555806
"(1, -1, -1)",remindTruths,"(-1, 0, 1)",3.955801767
"(1, 0, -1)",rewardPunish,"(-1, -1, 1)",6.899027741
"(1, 0, -1)",rewardPunish,"(-1, 1, 0)",6.338794795
"(0, 1, 0)",remindTruths,"(-1, -1, 1)",2.329363946
"(0, -1, 0)",rewardPunish,"(1, 0, 1)",8.935338668
"(0, 0, 1)",rewardPunish,"(0, -1, 1)",5.418306311
"(1, 1, 0)",rewardPunish,"(-1, 0, 1)",9.463818174
"(-1, -1, -1)",remindTruths,"(-1, 1, -1)",6.463972017
"(1, 0, 0)",activePlanning,"(-1, -1, -1)",7.230681564
"(-1, 0, 1)",remindTruths,"(0, 1, -1)",2.612527249
"(0, 1, -1)",activePlanning,"(1, -1, 1)",5.155908269
"(1, 0, 1)",remindTruths,"(1, 0, 0)",8.785478068
"(0, 1, 1)",rewardPunish,"(0, 1, -1)",5.022675625
"(1, 0, 0)",activePlanning,"(-1, 0, -1)",1.684866288
"(-1, -1, 1)",rewardPunish,"(-1, 1, 0)",7.238315063
"(1, 0, 0)",activePlanning,"(0, 0, -1)",8.856649059
"(-1, -1, -1)",rewardPunish,"(-1, 1, -1)",3.158363552
"(0, -1, 0)",remindTruths,"(-1, 1, -1)",4.854393602
"(0, 1, 1)",activePlanning,"(-1, 1, -1)",2.244626211
"(1, 0, 1)",rewardPunish,"(0, 0, -1)",4.312987181
"(0, 0, -1)",remindTruths,"(0, -1, 0)",7.595909075
"(-1, 1, 0)",remindTruths,"(1, 0, 1)",9.563935451
"(1, 1, -1)",rewardPunish,"(-1, -1, -1)",5.216788154
"(0, -1, 1)",activePlanning,"(1, -1, -1)",6.473336675
"(-1, 0, 0)",activePlanning,"(1, -1, 1)",3.195541129
"(0, -1, 0)",rewardPunish,"(0, 1, -1)",2.618961448
"(-1, 1, -1)",activePlanning,"(1, 0, 0)",7.985236637
"(1, 1, 0)",activePlanning,"(1, 1, -1)",5.690680787
"(-1, 1, -1)",activePlanning,"(0, 1, 1)",3.647059967
"(0, -1, 0)",remindTruths,"(1, -1, 0)",8.700938073
"(0, -1, 1)",remindTruths,"(1, 1, 0)",1.370156676
"(-1, 0, -1)",rewardPunish,"(0, 1, 0)",1.089649608
"(0, 0, 1)",activePlanning,"(-1, -1, -1)",7.62854089
"(0, 1, 1)",rewardPunish,"(-1, 0, 0)",3.261487931
"(0, 0, 1)",rewardPunish,"(1, 1, 0)",3.100315887
"(1, 0, -1)",activePlanning,"(0, -1, 1)",1.445901279
"(0, 1, 1)",remindTruths,"(0, 1, -1)",8.680554651
"(0, 0, 1)",activePlanning,"(1, 0, 1)",2.256978916
"(0, -1, -1)",activePlanning,"(1, 0, -1)",8.657578163
"(1, -1, 0)",activePlanning,"(-1, -1, 1)",2.824088918
"(-1, 1, -1)",rewardPunish,"(0, 0, 1)",6.588184093
"(1, -1, -1)",rewardPunish,"(1, -1, 0)",5.134846003
"(-1, 0, 1)",activePlanning,"(1, 0, 0)",7.062606404
"(0, -1, -1)",remindTruths,"(0, 0, 1)",5.829827013
"(0, -1, -1)",remindTruths,"(0, 1, 0)",1.4670849
"(1, 0, 0)",remindTruths,"(1, 1, 1)",2.609694789
"(-1, 0, 0)",remindTruths,"(-1, -1, -1)",1.419928868
"(-1, 0, 0)",rewardPunish,"(-1, 1, 0)",1.664449139
"(0, 0, -1)",activePlanning,"(1, 1, 0)",2.824634889
"(1, 0, -1)",activePlanning,"(1, 0, 1)",9.907494003
"(1, -1, 1)",rewardPunish,"(0, 0, 1)",2.062390261
"(1, -1, 1)",rewardPunish,"(-1, -1, -1)",5.757025399
"(-1, 1, 1)",rewardPunish,"(1, 1, -1)",9.175380728
"(-1, 1, -1)",activePlanning,"(1, -1, 0)",1.656010089
"(-1, 1, -1)",activePlanning,"(0, 0, -1)",1.927162645
"(0, -1, -1)",remindTruths,"(-1, 0, 1)",4.91632389
"(0, 1, 0)",remindTruths,"(1, -1, -1)",7.595087377
"(-1, 0, 0)",rewardPunish,"(1, 0, 0)",6.482071226
"(1, -1, 1)",activePlanning,"(0, 1, 1)",6.538702372
"(1, 1, -1)",rewardPunish,"(1, 1, 1)",2.706623615
"(-1, -1, -1)",rewardPunish,"(1, -1, -1)",6.986615658
"(0, -1, -1)",activePlanning,"(1, -1, 0)",1.596780999
"(0, -1, 1)",activePlanning,"(-1, 1, -1)",8.157503069
"(1, 1, 1)",remindTruths,"(1, 0, -1)",5.548628741
"(0, 0, -1)",activePlanning,"(-1, -1, 0)",7.027238832
"(-1, 1, -1)",rewardPunish,"(0, -1, 1)",7.893906142
"(1, 1, 1)",rewardPunish,"(0, 1, 0)",6.51213396
"(-1, 1, 0)",rewardPunish,"(-1, 0, 0)",8.292913829
"(-1, 0, -1)",rewardPunish,"(1, 1, 1)",2.261794782
"(1, -1, 1)",activePlanning,"(1, -1, -1)",6.710176455
"(-1, 1, 1)",remindTruths,"(0, -1, 1)",5.3526062
"(0, 1, 0)",rewardPunish,"(1, 1, -1)",9.450225277
"(0, 1, -1)",remindTruths,"(-1, 0, 1)",2.686412976
"(0, -1, -1)",remindTruths,"(0, -1, 1)",1.755771924
"(-1, 1, 1)",remindTruths,"(1, 0, 1)",8.876234577
"(1, -1, 0)",remindTruths,"(-1, -1, -1)",1.972601804
"(-1, 0, -1)",remindTruths,"(-1, -1, 0)",8.757659831
"(0, 0, 1)",remindTruths,"(-1, 0, 1)",3.458553196
"(-1, -1, -1)",rewardPunish,"(-1, -1, -1)",4.042939852
"(1, 1, 1)",rewardPunish,"(-1, -1, 1)",5.770085175
"(1, 1, -1)",remindTruths,"(-1, 0, -1)",7.3838338
"(1, -1, -1)",rewardPunish,"(0, -1, 0)",6.554532691
"(-1, 0, -1)",remindTruths,"(-1, -1, 1)",9.465107586
"(1, -1, 0)",activePlanning,"(1, 1, -1)",3.910948368
"(1, -1, -1)",remindTruths,"(-1, 1, -1)",8.904047738
"(1, 0, 1)",activePlanning,"(-1, -1, 1)",4.218677699
"(-1, -1, 0)",activePlanning,"(-1, -1, 0)",3.37723039
"(-1, 1, 0)",rewardPunish,"(0, 1, -1)",9.210330923
"(0, 0, 0)",remindTruths,"(1, 0, 0)",1.24058344
"(1, 0, -1)",activePlanning,"(-1, 0, 0)",9.860026845
"(0, -1, 0)",activePlanning,"(-1, 1, 0)",6.573694303
"(0, 0, -1)",activePlanning,"(0, 0, -1)",9.476216611
"(0, 0, 1)",activePlanning,"(-1, 0, 1)",9.948698034
"(0, 1, -1)",rewardPunish,"(1, 0, -1)",9.625216425
"(-1, -1, 0)",rewardPunish,"(0, 1, -1)",3.432748682
"(-1, 0, -1)",rewardPunish,"(1, 1, 0)",1.910712055
"(1, -1, -1)",activePlanning,"(0, 0, 1)",7.426608564
"(1, 1, 1)",rewardPunish,"(1, 0, 1)",1.588200958
